Region,SecurityGroupId,SecurityGroupName,Protocol,PortRange,CIDR,IP_Version,Resource_Type,ResourceId,Resource_Name
ca-central-1,sg-0c7d4d54af3ea3bd7,AWS Elastic Disaster Recovery default Replication Server Security Group,tcp,1500,0.0.0.0/0,IPv4,EC2,i-036e6157423f37ae6,AWS Elastic Disaster Recovery Replication Server
ca-central-1,sg-0c7d4d54af3ea3bd7,AWS Elastic Disaster Recovery default Replication Server Security Group,tcp,1500,0.0.0.0/0,IPv4,EC2,i-0e1b85bfa483efb4a,AWS Elastic Disaster Recovery Replication Server
ca-central-1,sg-0c7d4d54af3ea3bd7,AWS Elastic Disaster Recovery default Replication Server Security Group,tcp,1500,0.0.0.0/0,IPv4,NetworkInterface,eni-006d4aeeeb0958c57,
ca-central-1,sg-0c7d4d54af3ea3bd7,AWS Elastic Disaster Recovery default Replication Server Security Group,tcp,1500,0.0.0.0/0,IPv4,NetworkInterface,eni-07cf883326d930e69,
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,216.251.138.106/32,IPv4,EC2,i-0d3f4aea4cec3e9d2,Linko-AWSSQLCA
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,216.251.138.106/32,IPv4,EC2,i-0b8cfd5e91731cf0c,Linko-AWSDCCA
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,216.251.138.106/32,IPv4,NetworkInterface,eni-0dfd6c0a89c2e5b76,Primary network interface
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,216.251.138.106/32,IPv4,NetworkInterface,eni-04309a3e82e992976,
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,10.1.0.0/16,IPv4,EC2,i-0d3f4aea4cec3e9d2,Linko-AWSSQLCA
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,10.1.0.0/16,IPv4,EC2,i-0b8cfd5e91731cf0c,Linko-AWSDCCA
ca-central-1,sg-0162382989c803228,Linko-AWSSQLCA,-1,All,10.1.0.0/16,IPv4,NetworkInterface,eni-0dfd6c0a89c2e5b76,Primary network interface
